date,category,dish_name,quantity_sold,unit_cost,selling_price,total_cost,total_revenue,waste_qty,waste_cost,day_of_week
2024-04-01,Antipasti,Bruschetta Pomodoro,10,2.5,8,25,80,0.4,1,Lunedì
2024-04-01,Antipasti,Carpaccio di Manzo,15,5.2,16,78,240,0.9,4.68,Lunedì
2024-04-01,Antipasti,Caprese,14,3.8,12,53.2,168,0.8,3.04,Lunedì
2024-04-01,Antipasti,Prosciutto e Melone,13,4.5,14,58.5,182,1,4.5,Lunedì
2024-04-01,Primi,Spaghetti Carbonara,20,3.2,14,64,280,0.7,2.24,Lunedì
2024-04-01,Primi,Risotto Funghi,19,4.8,16,91.2,304,0.9,4.32,Lunedì
2024-04-01,Primi,Penne Arrabbiata,19,2.8,12,53.2,228,0.5,1.4,Lunedì
2024-04-01,Primi,Tagliatelle Bolognese,21,4.2,15,88.2,315,0.9,3.78,Lunedì
2024-04-01,Primi,Gnocchi 4 Formaggi,28,3.9,14,109.2,392,1.2,4.68,Lunedì
2024-04-01,Secondi,Tagliata di Manzo,24,8.5,28,204,672,2.4,20.4,Lunedì
2024-04-01,Secondi,Filetto di Branzino,19,7.2,26,136.8,494,2.2,15.84,Lunedì
2024-04-01,Secondi,Pollo alla Griglia,15,4.8,18,72,270,1.3,6.24,Lunedì
2024-04-01,Secondi,Costata di Maiale,21,6.2,22,130.2,462,1.6,9.92,Lunedì
2024-04-01,Contorni,Insalata Mista,8,1.8,6,14.4,48,1,1.8,Lunedì
2024-04-01,Contorni,Patate al Forno,12,1.2,5,14.4,60,0.6,0.72,Lunedì
2024-04-01,Contorni,Verdure Grigliate,12,2.5,7,30,84,1.3,3.25,Lunedì
2024-04-01,Dolci,Tiramisù,14,2.8,8,39.2,112,0.4,1.12,Lunedì
2024-04-01,Dolci,Panna Cotta,12,2.2,7,26.4,84,0.5,1.1,Lunedì
2024-04-01,Dolci,Cheesecake,13,3.5,9,45.5,117,0.8,2.8,Lunedì
2024-04-01,Dolci,Profiterole,13,3.2,8,41.6,104,0.8,2.56,Lunedì
2024-04-02,Antipasti,Bruschetta Pomodoro,12,2.5,8,30,96,0.6,1.5,Martedì
2024-04-02,Antipasti,Carpaccio di Manzo,16,5.2,16,83.2,256,1.2,6.24,Martedì
2024-04-02,Antipasti,Caprese,12,3.8,12,45.6,144,0.8,3.04,Martedì
2024-04-02,Antipasti,Prosciutto e Melone,16,4.5,14,72,224,1.1,4.95,Martedì
2024-04-02,Primi,Spaghetti Carbonara,17,3.2,14,54.4,238,0.5,1.6,Martedì
2024-04-02,Primi,Risotto Funghi,32,4.8,16,153.6,512,1.8,8.64,Martedì
2024-04-02,Primi,Penne Arrabbiata,30,2.8,12,84,360,0.7,1.96,Martedì
2024-04-02,Primi,Tagliatelle Bolognese,25,4.2,15,105,375,1.3,5.46,Martedì
2024-04-02,Primi,Gnocchi 4 Formaggi,27,3.9,14,105.3,378,0.9,3.51,Martedì
2024-04-02,Secondi,Tagliata di Manzo,17,8.5,28,144.5,476,1.9,16.15,Martedì
2024-04-02,Secondi,Filetto di Branzino,20,7.2,26,144,520,2.4,17.28,Martedì
2024-04-02,Secondi,Pollo alla Griglia,22,4.8,18,105.6,396,1.7,8.16,Martedì
2024-04-02,Secondi,Costata di Maiale,17,6.2,22,105.4,374,1.8,11.16,Martedì
2024-04-02,Contorni,Insalata Mista,8,1.8,6,14.4,48,0.9,1.62,Martedì
2024-04-02,Contorni,Patate al Forno,12,1.2,5,14.4,60,0.8,0.96,Martedì
2024-04-02,Contorni,Verdure Grigliate,9,2.5,7,22.5,63,0.8,2,Martedì
2024-04-02,Dolci,Tiramisù,9,2.8,8,25.2,72,0.3,0.84,Martedì
2024-04-02,Dolci,Panna Cotta,12,2.2,7,26.4,84,0.6,1.32,Martedì
2024-04-02,Dolci,Cheesecake,13,3.5,9,45.5,117,0.6,2.1,Martedì
2024-04-02,Dolci,Profiterole,13,3.2,8,41.6,104,1,3.2,Martedì
2024-04-03,Antipasti,Bruschetta Pomodoro,19,2.5,8,47.5,152,1,2.5,Mercoledì
2024-04-03,Antipasti,Carpaccio di Manzo,12,5.2,16,62.4,192,1.1,5.72,Mercoledì
2024-04-03,Antipasti,Caprese,18,3.8,12,68.4,216,0.9,3.42,Mercoledì
2024-04-03,Antipasti,Prosciutto e Melone,16,4.5,14,72,224,1,4.5,Mercoledì
2024-04-03,Primi,Spaghetti Carbonara,21,3.2,14,67.2,294,0.7,2.24,Mercoledì
2024-04-03,Primi,Risotto Funghi,31,4.8,16,148.8,496,1.9,9.12,Mercoledì
2024-04-03,Primi,Penne Arrabbiata,25,2.8,12,70,300,0.8,2.24,Mercoledì
2024-04-03,Primi,Tagliatelle Bolognese,21,4.2,15,88.2,315,0.9,3.78,Mercoledì
2024-04-03,Primi,Gnocchi 4 Formaggi,30,3.9,14,117,420,1.4,5.46,Mercoledì
2024-04-03,Secondi,Tagliata di Manzo,19,8.5,28,161.5,532,1.7,14.45,Mercoledì
2024-04-03,Secondi,Filetto di Branzino,15,7.2,26,108,390,1.9,13.68,Mercoledì
2024-04-03,Secondi,Pollo alla Griglia,24,4.8,18,115.2,432,2.2,10.56,Mercoledì
2024-04-03,Secondi,Costata di Maiale,16,6.2,22,99.2,352,1.3,8.06,Mercoledì
2024-04-03,Contorni,Insalata Mista,9,1.8,6,16.2,54,1,1.8,Mercoledì
2024-04-03,Contorni,Patate al Forno,9,1.2,5,10.8,45,0.5,0.6,Mercoledì
2024-04-03,Contorni,Verdure Grigliate,9,2.5,7,22.5,63,0.8,2,Mercoledì
2024-04-03,Dolci,Tiramisù,10,2.8,8,28,80,0.3,0.84,Mercoledì
2024-04-03,Dolci,Panna Cotta,11,2.2,7,24.2,77,0.4,0.88,Mercoledì
2024-04-03,Dolci,Cheesecake,14,3.5,9,49,126,1,3.5,Mercoledì
2024-04-03,Dolci,Profiterole,13,3.2,8,41.6,104,0.8,2.56,Mercoledì
2024-04-04,Antipasti,Bruschetta Pomodoro,11,2.5,8,27.5,88,0.4,1,Giovedì
2024-04-04,Antipasti,Carpaccio di Manzo,19,5.2,16,98.8,304,1.5,7.8,Giovedì
2024-04-04,Antipasti,Caprese,13,3.8,12,49.4,156,0.6,2.28,Giovedì
2024-04-04,Antipasti,Prosciutto e Melone,17,4.5,14,76.5,238,1,4.5,Giovedì
2024-04-04,Primi,Spaghetti Carbonara,27,3.2,14,86.4,378,1.1,3.52,Giovedì
2024-04-04,Primi,Risotto Funghi,26,4.8,16,124.8,416,1.8,8.64,Giovedì
2024-04-04,Primi,Penne Arrabbiata,22,2.8,12,61.6,264,0.6,1.68,Giovedì
2024-04-04,Primi,Tagliatelle Bolognese,22,4.2,15,92.4,330,1.1,4.62,Giovedì
2024-04-04,Primi,Gnocchi 4 Formaggi,25,3.9,14,97.5,350,1,3.9,Giovedì
2024-04-04,Secondi,Tagliata di Manzo,19,8.5,28,161.5,532,1.8,15.3,Giovedì
2024-04-04,Secondi,Filetto di Branzino,14,7.2,26,100.8,364,1.5,10.8,Giovedì
2024-04-04,Secondi,Pollo alla Griglia,23,4.8,18,110.4,414,2,9.6,Giovedì
2024-04-04,Secondi,Costata di Maiale,14,6.2,22,86.8,308,1.1,6.82,Giovedì
2024-04-04,Contorni,Insalata Mista,8,1.8,6,14.4,48,0.9,1.62,Giovedì
